Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item de ingresos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Cuotas y aportes de afiliados;Pesos;19.764.510;42.481.000;27.012.800;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Rendimientos de patrimonio;Pesos;0;0;528.720;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;83.894.393;0;85.766.492;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Rendimiento por actividades;Pesos;396.830;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;11.427.743;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;2.855.102;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;14.677.889;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;342.224;8.890.674;4.463.000
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;7.729.485;20.788.537;53.883.733
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;20.315.988;0
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;350.000;350.000;350.000;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;19018515;17776489
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;11.622.420;3.895.000;6.891.333
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;180.540.306
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;6.458.333;5.685.900;10.052.300;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;184.927.760;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;6.160.300;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;78.259;394.500;206.734
PP021;Partido Progresista (PRO);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;20.315.988
PP021;Partido Progresista (PRO);2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;311.732;66.627;123.500;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;40.000;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;20.533.364;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;351.732;66.627;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;351.732;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;1.000.000;272.000;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;550.000;550.000;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;76.451.481;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;1.000.000;272.000;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;550.000;550.000;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;76.451.481;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;1.000.000;272.000;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;550.000;550.000;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;76.451.481;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;1.000.000;272.000;1.462.652;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;550.000;550.000;550.000;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;76.451.481;0;78.129.867;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;1.000.000;272.000;1.462.652;1.761.000;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;550.000;550.000;550.000;550.000;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;76.451.481;0;78.129.867;0;0;0;0;0;0;0;0;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;19.645.000;7.540.000;17.500.770;0;0;0;0;0;0;0;0;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;15.000.000;0;15.000.000;0;0;0;0;0;0;0;0;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;196.852.765;0;0;0;0;0;0;0;0;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;520.000;520.000;520.000;0;0;0;0;0;0;0;0;0
PP025;Partido Socialista de Chile PS;2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;21.037.000;16.836.000;17.031.017;15.676.000;18.589.000;11.710.000;10.950.000;10.264.000;12.515.000;8.850.000;3.463.900;3.360.000
PP025;Partido Socialista de Chile PS;2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;30.518.800;30.518.800;30.559.209;30.538.800;30.538.800;30.538.800;30.538.800;15.520.000;397.520.000;65.520.000;15.520.000;15.520.000
PP025;Partido Socialista de Chile PS;2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;886.000;410.000;734.000;323.000;639.000;443.000;530.000;170.000;170.000;60.000;190.100;0
PP025;Partido Socialista de Chile PS;2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;203.965.625;200.524.719;0;0;0;193.361.167;0;192.162.818
PP025;Partido Socialista de Chile PS;2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP027;Partido Poder Ciudadano;2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP027;Partido Poder Ciudadano;2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP027;Partido Poder Ciudadano;2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;450.000;0;0;0;0;0;0;0;0;0;0
PP027;Partido Poder Ciudadano;2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;5.078.997;0;0;0;0;0;0;0;0;0;0;0
PP027;Partido Poder Ciudadano;2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;1.838.583;33.959.756;692.500
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;1.095.378;0;1.095.378
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;229.690.541;0
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;3.261.340;5.509.312;5.545.440
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;3.579.410
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;18.961.486
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;2.313.900;1.747.060;2.722.523;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;18.623.641;19.030.505;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;2.849.134;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;900.000;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;5.300.000
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;1.000.000;0;5.541.040;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Aportes estatales regulados en la Ley Número 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;5.020.000
PP031;Partido Todos;2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;29.611
PP031;Partido Todos;2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;1.806.336;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;1.358.465;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
